entity,coupled,degree,average-revs,structurally_coupled,direction
crates/rust-analyzer/src/diagnostics/test_data/rustc_incompatible_type_for_trait.txt,crates/rust-analyzer/src/diagnostics/test_data/snap_multi_line_fix.txt,69,12,No,None
crates/mbe/src/mbe_expander/matcher.rs,crates/mbe/src/mbe_expander/transcriber.rs,69,12,No,None
crates/rust-analyzer/src/diagnostics/test_data/clippy_pass_by_ref.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_incompatible_type_for_trait.txt,69,12,No,None
crates/rust-analyzer/src/diagnostics/test_data/handles_macro_location.txt,crates/rust-analyzer/src/diagnostics/test_data/macro_compiler_error.txt,69,12,No,None
crates/ide/src/syntax_highlighting/test_data/highlight_doctest.html,crates/ide/src/syntax_highlighting/test_data/highlight_unsafe.html,68,49,No,None
src/parser/event_parser/grammar/items.rs,src/parser/event_parser/grammar/mod.rs,68,29,No,None
crates/ra_ide/src/snapshots/highlight_injection.html,crates/ra_ide/src/snapshots/rainbow_highlighting.html,68,19,No,None
crates/ra_hir_def/src/item_tree.rs,crates/ra_hir_def/src/item_tree/lower.rs,67,39,No,None
crates/ide/src/syntax_highlighting/test_data/highlight_injection.html,crates/ide/src/syntax_highlighting/test_data/highlight_unsafe.html,67,31,No,None
crates/syntax/rust.ungram,crates/syntax/src/ast/generated/nodes.rs,66,78,No,None
crates/proc-macro-srv/src/server_impl/rust_analyzer_span.rs,crates/proc-macro-srv/src/server_impl/token_id.rs,66,32,No,None
crates/ra_ssr/src/matching.rs,crates/ra_ssr/src/tests.rs,66,23,No,None
crates/completion/src/render/enum_variant.rs,crates/completion/src/render/function.rs,66,20,No,None
crates/hir-def/src/test_db.rs,crates/hir-ty/src/test_db.rs,66,20,No,None
crates/ra_analysis/src/hir/mod.rs,crates/ra_analysis/src/hir/module/nameres.rs,66,15,No,None
crates/ra_analysis/src/hir/module/nameres.rs,crates/ra_analysis/src/hir/query_definitions.rs,66,12,No,None
crates/ra_ide/test_data/highlight_doctest.html,crates/ra_ide/test_data/highlight_unsafe.html,66,12,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_mismatched_type.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_info.txt,66,11,No,None
crates/ra_assists/src/assists/add_explicit_type.rs,crates/ra_assists/src/assists/add_impl.rs,66,11,No,None
crates/rust-analyzer/src/diagnostics/test_data/macro_compiler_error.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_incompatible_type_for_trait.txt,66,11,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_mismatched_type.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_hint.txt,66,11,No,None
crates/ra_ide/test_data/highlight_injection.html,crates/ra_ide/test_data/highlight_unsafe.html,66,11,No,None
crates/salsa/salsa-macros/src/query_group.rs,crates/salsa/src/derived.rs,66,11,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_mismatched_type.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable.txt,66,11,No,None
crates/hir-ty/src/next_solver/consts.rs,crates/hir-ty/src/next_solver/predicate.rs,66,11,No,None
crates/ra_ide/test_data/highlight_injection.html,crates/ra_ide/test_data/highlighting.html,66,11,No,None
crates/ide/src/syntax_highlighting/test_data/highlight_crate_root.html,crates/ide/src/syntax_highlighting/test_data/highlight_default_library.html,66,11,No,None
crates/ra_assists/src/assists/flip_binexpr.rs,crates/ra_assists/src/assists/inline_local_variable.rs,66,9,No,None
editors/code/src/commands/extend_selection.ts,editors/code/src/events/change_active_text_editor.ts,66,8,No,None
crates/ra_assists/src/assists/replace_if_let_with_match.rs,crates/ra_assists/src/assists/split_import.rs,66,8,No,None
crates/ssr/src/lib.rs,crates/ssr/src/matching.rs,66,8,No,None
editors/code/src/commands/syntaxTree.ts,editors/code/src/events/change_active_text_editor.ts,66,8,No,None
crates/ra_assists/src/assists/flip_binexpr.rs,crates/ra_assists/src/assists/replace_if_let_with_match.rs,66,8,No,None
crates/ide_assists/Cargo.toml,crates/ide_ssr/Cargo.toml,66,8,No,None
tests/data/parser/err/0003_C++_semicolon.txt,tests/data/parser/err/0006_named_field_recovery.txt,66,8,No,None
crates/ra_ide_api/src/name_kind.rs,crates/ra_ide_api/src/search_scope.rs,66,8,No,None
crates/proc-macro-srv/proc-macro-test/Cargo.toml,crates/proc-macro-srv/proc-macro-test/imp/Cargo.toml,66,8,No,None
crates/ra_assists/src/assists/change_visibility.rs,crates/ra_assists/src/assists/replace_if_let_with_match.rs,66,8,No,None
crates/ra_hir/src/function/mod.rs,crates/ra_hir/src/module/mod.rs,66,8,No,None
tools/src/lib.rs,tools/src/main.rs,66,8,No,None
tests/data/parser/err/0000_struct_field_missing_comma.txt,tests/data/parser/err/0006_named_field_recovery.txt,66,8,No,None
crates/assists/src/lib.rs,crates/assists/src/tests/generated.rs,65,31,No,None
crates/ide-completion/src/completions/attribute/derive.rs,crates/ide-completion/src/completions/use_.rs,65,22,No,None
crates/ra_syntax/src/ast/generated/nodes.rs,xtask/src/ast_src.rs,64,94,No,None
crates/hir_def/src/macro_expansion_tests/mbe.rs,crates/mbe/src/tests/expand.rs,64,53,No,None
crates/ide/src/syntax_highlighting/test_data/highlight_assoc_functions.html,crates/ide/src/syntax_highlighting/test_data/highlight_unsafe.html,64,31,No,None
crates/ra_ide/src/snapshots/highlight_unsafe.html,crates/ra_ide/src/syntax_highlighting/html.rs,64,16,No,None
crates/ide-assists/Cargo.toml,crates/ide-diagnostics/Cargo.toml,64,14,No,None
crates/ra_ide/test_data/highlight_unsafe.html,crates/ra_ide/test_data/highlighting.html,64,14,No,None
crates/rust-analyzer/src/diagnostics/test_data/macro_compiler_error.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_hint.txt,64,13,No,None
crates/ra_analysis/src/hir/module/mod.rs,crates/ra_analysis/src/hir/module/nameres.rs,64,13,No,None
crates/rust-analyzer/src/diagnostics/test_data/clippy_pass_by_ref.txt,crates/rust-analyzer/src/diagnostics/test_data/handles_macro_location.txt,64,13,No,None
editors/code/src/commands/join_lines.ts,editors/code/src/commands/parent_module.ts,64,13,No,None
editors/code/src/commands/join_lines.ts,editors/code/src/commands/matching_brace.ts,64,13,No,None
crates/rust-analyzer/src/diagnostics/test_data/handles_macro_location.txt,crates/rust-analyzer/src/diagnostics/test_data/snap_multi_line_fix.txt,64,13,No,None
crates/rust-analyzer/src/diagnostics/test_data/macro_compiler_error.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_info.txt,64,13,No,None
crates/rust-analyzer/src/diagnostics/test_data/macro_compiler_error.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable.txt,64,13,No,None
crates/hir_def/src/item_tree.rs,crates/hir_def/src/item_tree/lower.rs,63,84,No,None
crates/ra_ide/src/snapshots/rainbow_highlighting.html,crates/ra_ide/src/syntax_highlighting/html.rs,63,22,No,None
crates/ra_ide/src/snapshots/highlight_strings.html,crates/ra_ide/src/syntax_highlighting/html.rs,63,19,No,None
crates/ra_hir_def/src/test_db.rs,crates/ra_hir_expand/src/test_db.rs,63,11,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_incompatible_type_for_trait.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_info.txt,63,11,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_incompatible_type_for_trait.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_hint.txt,63,11,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_incompatible_type_for_trait.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable.txt,63,11,No,None
crates/salsa/src/derived.rs,crates/salsa/src/input.rs,63,10,No,None
crates/ssr/src/matching.rs,crates/ssr/src/tests.rs,63,10,No,None
crates/project-model/src/toolchain_info/rustc_cfg.rs,crates/project-model/src/toolchain_info/target_data_layout.rs,63,10,No,None
